高雄市[ 高雄市 ]　出生與死亡統計,,,,,,,,,,,,,
年月,性別,人口數,嬰兒出生總數,,,,,生母國籍(地區),,遺腹子,雙胞胎,三胞胎以上,死亡人數
,,,合計,婚生,非婚生,,"棄嬰或
無依兒童","大陸港澳
地區",外籍國,,,,
,,,,,已認領,未認領,,,,,,,
102年12月,計,2779877,1908,1822,39,47,0,75,43,0,44,0,1722
102年12月,男,1385895,996,953,18,25,0,46,20,0,26,0,1048
102年12月,女,1393982,912,869,21,22,0,29,23,0,18,0,674
103年01月,計,2779790,1630,1552,32,46,0,54,45,0,68,0,1722
103年01月,男,1385726,906,857,16,33,0,25,25,0,36,0,1039
103年01月,女,1394064,724,695,16,13,0,29,20,0,32,0,683
103年02月,計,2779653,1681,1621,33,27,0,63,39,0,46,3,1817
103年02月,男,1385335,847,816,19,12,0,38,21,0,14,1,1148
103年02月,女,1394318,834,805,14,15,0,25,18,0,32,2,669
103年03月,計,2778669,1855,1770,32,53,0,43,48,0,63,6,1836
103年03月,男,1384641,983,933,17,33,0,22,27,0,31,2,1117
103年03月,女,1394028,872,837,15,20,0,21,21,0,32,4,719
103年04月,計,2778132,1876,1813,33,30,0,52,47,0,62,3,1685
103年04月,男,1384253,984,945,22,17,0,30,25,0,27,1,1022
103年04月,女,1393879,892,868,11,13,0,22,22,0,35,2,663
103年05月,計,2777415,1707,1633,33,41,0,68,51,0,52,3,1640
103年05月,男,1383711,852,817,15,20,0,39,24,0,27,3,979
103年05月,女,1393704,855,816,18,21,0,29,27,0,25,0,661
103年06月,計,2777296,1740,1670,21,49,0,58,45,0,54,3,1584
103年06月,男,1383480,935,898,12,25,0,34,31,0,26,3,977
103年06月,女,1393816,805,772,9,24,0,24,14,0,28,0,607
103年07月,計,2777240,1910,1830,39,41,0,61,50,0,52,2,1713
103年07月,男,1383208,967,930,15,22,0,31,21,0,23,0,1056
103年07月,女,1394032,943,900,24,19,0,30,29,0,29,2,657
